HowlWater +Hidden, HardRock, DoubleTime, NightCore on 1/2/2016 11:54:01 PM
Count 300: 258
Count 100: 93
Count 50: 9
Count Geki: 15
Count Katu: 40
Count Miss: 0
Total Score: 4692634
Max Combo: 526
Is fullcombo: False
Mods: Hidden, HardRock, DoubleTime, NightCore
0(0): (76.15625,159.1489) None 0
18400(24): (240.7526,306.1826) K2 6.08208983514999
18427(27): (247.7839,306.981) K2 7.07649481286804
18449(22): (254.125,306.981) K2 6.34109497070313
18475(26): (269.6328,307.9331) K2 15.5370131321497
18502(27): (278.7344,308.7754) K2 9.14048356171959
18525(23): (285.0234,309.1855) K2 6.30235809122622
18550(25): (294.0078,309.8887) K2 9.0118841550659
18578(28): (305.5443,310.9067) K2 11.5813274132696
18601(23): (311.3776,311.3535) K2 5.85036702933249
18625(24): (319.6588,311.8589) K2 8.29662744160401
18653(28): (327.276,312.3203) K2 7.63115057915636
18674(21): (332.3151,312.4961) K2 5.04215801890978
18685(11): (335.6224,312.5034) K2 3.30732005420339
18700(15): (342.888,313.0674) K2 7.28745417653347
18727(27): (349.763,313.9609) K2 6.93281731381828
18751(24): (354.5677,314.7153) K2 4.86355148851497
18775(24): (359.112,315.001) K2 4.55328396794252
18803(28): (365.362,314.6128) K2 6.26204520873447
18826(23): (369.0338,313.7192) K2 3.77898297312334
18841(15): (371.6641,313.0454) K2 2.71521153497344
18850(9): (375.6875,311.7563) K2 4.22488381320657
18876(26): (383.3828,309.1709) K2 8.11800877879067
18877(1): (383.9818,308.9365) K2 0.643230733679717
18901(24): (386.7943,307.728) K2 3.06114669014881
18925(24): (394.8932,303.3188) K2 9.22133084399559
18952(27): (401.612,299.0562) K2 7.9568808192124
18976(24): (406.8333,295.5625) K2 6.28236799260293
19000(24): (415.6745,289.6738) K2 10.6227771797477
19027(27): (427.1198,282.3936) K2 13.5645372514471
19051(24): (433.2787,278.5117) K2 7.28016890995097
19075(24): (440.9609,273.3555) K2 9.25217789612881
19102(27): (448.2266,267.7817) K2 9.15736563049014
19126(24): (453.3958,263.2993) K2 6.84199831708504
19140(14): (459.125,258.4727) None 7.49130448526755
19150(10): (462.7708,255.6016) None 4.64059604650193
19177(27): (468.9167,249.9839) None 8.32647705415075
19201(24): (472.6797,245.7798) None 5.64221965387912
19225(24): (477.6276,240.2646) None 7.40939841953795
19252(27): (484.151,235.0425) None 8.35614980024882
19274(22): (487.3542,233.2847) None 3.65379965474693
19300(26): (490.987,231.4829) None 4.05509837525687
19327(27): (492.3932,230.5527) None 1.68600794061514
19351(24): (492.4583,230.1792) None 0.37913970662015
19375(24): (491.1172,230.1792) None 1.34112548828125
19402(27): (487.9271,230.1792) None 3.19009399414063
19412(10): (486.6641,230.1792) K2 1.26300048828125
19424(12): (484.6458,230.1792) K2 2.01828002929688
19450(26): (478.2005,229.564) K2 6.47460647521091
19477(27): (469.0469,226.2827) K2 9.72394996180496
19501(24): (462.2891,223.1406) K2 7.45257366689912
19525(24): (451.651,217.7866) K2 11.9094163043476
19532(7): (448.1094,215.6846) None 4.11841273255257
19552(20): (440.2057,209.8252) None 9.8387690329566
19576(24): (431.0521,202.2886) None 11.8570020831796
19600(24): (419.6328,193.5215) None 14.3966006602165
19627(27): (414.4766,191.3462) None 5.59629331350673
19651(24): (411.013,189.6396) None 3.8612135961573
19675(24): (406.1172,186.1313) None 6.0230523148934
19702(27): (401.4167,181.4438) None 6.63832517208462
19726(24): (400.2708,179.73) None 2.06159132841602
19750(24): (398.9427,177.269) None 2.79650313886221
19771(21): (397.5104,174.9546) K2 2.721734929046
19777(6): (397.0807,174.2295) K2 0.842866647655794
19800(23): (395.6615,171.7686) K2 2.84080303435384
19825(25): (393.7474,167.2349) K2 4.92120393852571
19832(7): (393.526,166.2388) K2 1.02040332505682
19852(20): (393.3958,164.3198) K2 1.92341734281401
19876(24): (393.3958,162.2837) K2 2.03608703613281
19900(24): (393.4349,158.2261) K2 4.05779024542941
19927(27): (393.8385,150.7188) K2 7.51814982031395
19949(22): (394.3594,146.9614) K2 3.79333628270072
19975(26): (396.2995,140.604) K2 6.64683304871748
20002(27): (398.513,134.9863) K2 6.03806348369544
20026(24): (400.4271,130.3428) K2 5.02252778780745
20050(24): (403.9688,119.7373) K2 11.1812584085631
20078(28): (405.9088,112.4717) K2 7.52013780828925
20099(21): (407.237,106.6343) K2 5.98659705231629
20125(26): (409.1771,96.93701) K2 9.88945747824536
20152(27): (410.9349,86.82959) K2 10.2591365009139
20176(24): (412.1068,80.88232) K2 6.06163523354603
20200(24): (413.8906,73.58008) K2 7.51695205752142
